,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
358,Sterling,39.0062,-77.4286,74.8,54,20,8.05,US,1665074094
359,Tarbert,55.8628,-5.4162,56.5,95,100,14.83,GB,1665074291
360,Niquero,20.0431,-77.5828,86.02,69,28,13.18,CU,1665074292
361,Aksu,41.1231,80.2644,60.26,29,100,6.67,CN,1665074294
362,Esim,4.8699,-2.2405,78.78,79,98,9.46,GH,1665074295
363,Hirara,24.8,125.2833,80.24,79,67,11.48,JP,1665074298
364,Peniche,39.3558,-9.3811,76.28,69,100,8.61,PT,1665074299
365,Goderich,43.7501,-81.7165,65.91,72,98,9.22,CA,1665074300
366,Sioux Lookout,50.1001,-91.917,33.87,86,75,9.22,CA,1665074303
367,Ishigaki,24.3448,124.1572,77.13,94,75,5.75,JP,1665074304
368,Yamada,39.4667,141.95,47.8,72,48,4.65,JP,1665074306
369,Charters Towers,-20.1,146.2667,67.93,89,11,11.32,AU,1665074307
370,Bell Ville,-32.6259,-62.6887,72.66,33,100,15.73,AR,1665074308
371,Valparaíso,-33.0393,-71.6273,71.83,56,0,13.8,CL,1665074310
372,Shihezi,44.3,86.0333,56.86,35,0,2.35,CN,1665074312
373,Merritt Island,28.5392,-80.672,83.21,47,20,11.5,US,1665074313
374,Tura,25.5198,90.2201,72.41,97,21,3.44,IN,1665074315
375,Bonfim,3.0833,-59.95,90.05,52,55,4.65,BR,1665074316
376,San Vicente,-26.6167,-54.1333,64.35,97,100,3.96,AR,1665074317
377,Lichinga,-13.3128,35.2406,75.29,38,0,12.66,MZ,1665074320
378,Tcholliré,8.4022,14.1698,73.67,88,99,3.65,CM,1665074321
379,Fairbanks,64.8378,-147.7164,42.6,88,100,3.44,US,1665074162
380,Ningbo,29.8782,121.5495,62.98,99,75,8.95,CN,1665074324
381,Margate,51.3813,1.3862,62.87,61,20,4.0,GB,1665074325
382,Guerrero Negro,27.9769,-114.0611,72.82,74,10,10.83,MX,1665074326
383,Marília,-22.2139,-49.9458,90.63,36,79,14.23,BR,1665074173
384,Pachmarhi,22.4667,78.4333,66.15,95,67,9.06,IN,1665074329
385,São Filipe,14.8961,-24.4956,80.17,82,47,13.85,CV,1665074330
386,Cap Malheureux,-19.9842,57.6142,72.46,66,33,5.99,MU,1665074331
387,Acajutla,13.5928,-89.8275,86.04,59,80,5.17,SV,1665074333
388,Portales,34.1862,-103.3344,63.01,79,94,7.29,US,1665074296
389,Camaná,-16.6228,-72.7111,65.55,67,54,11.1,PE,1665074336
390,Orlik,52.5178,99.825,26.98,69,100,2.86,RU,1665074338
391,Darnah,32.767,22.6367,70.9,58,16,22.66,LY,1665074339
392,Karaton,-6.3424,106.1045,73.2,96,91,3.87,ID,1665074340
393,Chicama,-7.8447,-79.1469,59.54,58,29,9.82,PE,1665074342
394,Kandrian,-6.2167,149.55,77.81,89,100,7.2,PG,1665074343
395,Pinega,64.7001,43.3936,47.44,86,99,13.11,RU,1665074345
396,Ostrovnoy,68.0531,39.5131,46.87,86,100,33.49,RU,1665074347
397,Muroto-misakicho,33.2833,134.15,67.14,89,100,10.74,JP,1665074349
398,Honggang,46.4667,124.8667,36.75,41,8,7.2,CN,1665074350
399,Wang Saphung,17.301,101.7685,73.13,94,25,1.81,TH,1665074352
400,Port Hawkesbury,45.6169,-61.3485,59.81,99,100,8.05,CA,1665074099
401,Sulangan,11.1373,123.7228,83.73,75,95,9.37,PH,1665074354
402,Muros,42.7762,-9.0603,78.1,53,1,7.92,ES,1665074357
403,Cherskiy,68.75,161.3,26.04,82,100,25.88,RU,1665074358
404,Belle Fourche,44.6714,-103.8522,45.32,84,98,12.46,US,1665074359
405,Opuwo,-18.0607,13.84,87.17,11,81,14.25,NA,1665074361
406,Aquin,18.2833,-73.4,85.86,68,42,2.93,HT,1665074362
407,Cururupu,-1.8283,-44.8683,87.49,57,80,9.35,BR,1665074363
408,Nioro,13.35,-15.75,90.07,59,22,3.78,GM,1665074365
409,Buala,-8.145,159.5921,78.6,80,77,3.76,SB,1665074366
410,Corn Island,12.1694,-83.0418,82.9,74,75,11.32,NI,1665074368
411,Erenhot,43.6475,111.9767,44.04,18,31,3.33,CN,1665074369
412,Vardø,70.3705,31.1107,48.18,87,75,25.32,NO,1665074370
413,Lermontovka,47.1453,134.3383,32.22,67,90,4.18,RU,1665074372
414,Vestmannaeyjar,63.4427,-20.2734,45.59,65,0,12.66,IS,1665074373
415,Puerto Escondido,15.85,-97.0667,85.03,70,0,5.75,MX,1665074374
416,Annau,37.8876,58.516,63.9,24,0,2.3,TM,1665074377
417,Altamira,-3.2033,-52.2064,87.89,62,75,6.91,BR,1665074379
418,Tazovsky,67.4667,78.7,31.44,84,98,11.9,RU,1665074380
419,Inta,66.0317,60.1659,41.36,90,100,5.06,RU,1665074382
420,Omsukchan,62.5333,155.8,15.66,94,100,7.34,RU,1665074383
421,Mezhdurechensk,53.6942,88.0603,36.23,92,100,1.59,RU,1665074384
422,Huarmey,-10.0681,-78.1522,67.19,69,44,10.4,PE,1665074386
423,Hue,16.4667,107.6,78.91,94,40,3.44,VN,1665074387
424,The Valley,18.217,-63.0578,87.66,66,20,18.41,AI,1665074388
425,Santa Maria,-29.6842,-53.8069,65.5,100,100,2.3,BR,1665074390
426,Deep River,46.1001,-77.4995,65.95,35,87,9.44,CA,1665074371
427,Aquiraz,-3.9014,-38.3911,87.89,57,8,14.5,BR,1665074393
428,Zalari,53.5584,102.5065,31.39,79,100,3.36,RU,1665074395
429,Hereford,52.0568,-2.7148,62.62,81,35,4.0,GB,1665074396
430,La Ronge,55.1001,-105.2842,35.85,64,20,8.05,CA,1665074397
431,Haines Junction,60.7522,-137.5108,24.75,86,52,2.3,CA,1665074399
432,Bindura,-17.3019,31.3306,76.01,21,0,5.66,ZW,1665074400
433,Okhotsk,59.3833,143.3,28.4,58,100,11.01,RU,1665074401
434,Kungurtug,50.5994,97.5228,27.88,92,99,2.71,RU,1665074403
435,Bograd,54.2344,90.8328,31.84,85,100,7.25,RU,1665074404
436,Aykhal,66.0,111.5,9.68,99,96,3.56,RU,1665074406
437,Douglas,41.3,-96.167,68.86,68,40,9.22,US,1665074283
438,China,25.7,-99.2333,82.13,46,100,4.79,MX,1665074337
439,Pirojpur,22.5667,89.9833,77.92,87,27,4.88,BD,1665074409
440,Laguna,38.421,-121.4238,83.01,61,0,1.01,US,1665074149
441,Okha,53.5739,142.9478,36.45,75,97,15.01,RU,1665074413
442,El Salvador,13.8333,-88.9167,83.05,63,60,2.98,SV,1665074415
443,Garmsār,35.2182,52.3409,79.41,17,0,3.11,IR,1665074416
444,Fort Nelson,58.8053,-122.7002,31.59,93,40,3.44,CA,1665074417
445,Yinchuan,38.4681,106.2731,54.21,27,56,3.91,CN,1665074419
446,Manapparai,10.6,78.4167,81.46,67,100,4.7,IN,1665074420
447,Donskoye,45.4552,41.9741,59.13,50,48,3.02,RU,1665074422
448,Dalvik,65.9702,-18.5286,39.13,98,100,5.17,IS,1665074423
449,Waddān,29.1614,16.139,79.5,33,0,9.86,LY,1665074425
450,Sol'-Iletsk,51.1631,54.9918,46.83,95,100,7.11,RU,1665074426
451,Mtwara,-10.2667,40.1833,78.13,65,20,11.5,TZ,1665074427
452,Belyy Yar,53.6039,91.3903,35.49,93,40,4.47,RU,1665074429
453,Southbridge,42.0751,-72.0334,71.42,77,5,3.62,US,1665074430
454,Broken Hill,-31.95,141.4333,66.78,48,99,8.12,AU,1665074431
455,Bandarbeyla,9.4942,50.8122,78.4,80,84,21.21,SO,1665074433
456,Gorontalo,0.5412,123.0595,75.02,95,36,2.59,ID,1665074434
457,Port Blair,11.6667,92.75,80.46,79,86,7.81,IN,1665074435
458,São João Evangelista,-18.5478,-42.7633,77.85,60,100,6.58,BR,1665074437
459,New Glasgow,45.5834,-62.6486,59.79,98,100,4.05,CA,1665074438
460,Bako,5.7833,36.5667,63.97,81,95,4.97,ET,1665074439
461,Poso,-1.3959,120.7524,76.57,85,100,4.09,ID,1665074441
462,Saint Anthony,45.0205,-93.218,55.65,60,40,18.41,US,1665074442
463,Conde,-7.2597,-34.9075,85.46,62,75,10.36,BR,1665074430
464,Fīrozpur Jhirka,27.8,76.95,74.66,82,92,10.25,IN,1665074444
465,Nishihara,26.1842,127.7558,78.08,89,40,8.05,JP,1665074446
466,Maputo,-25.9653,32.5892,94.68,21,0,9.22,MZ,1665074341
467,Creel,27.75,-107.6333,60.89,54,23,8.14,MX,1665074448
468,Koster,-25.863,26.8976,73.11,16,2,7.0,ZA,1665074449
469,Daru,-9.0763,143.2092,79.45,88,100,16.69,PG,1665074451
470,Nanortalik,60.1432,-45.2371,37.6,78,6,13.06,GL,1665074452
471,Huaidian,33.4333,115.0333,48.31,93,98,3.06,CN,1665074453
472,Bragança Paulista,-22.94,-46.5556,85.84,39,69,10.51,BR,1665074240
473,Tubualá,9.5167,-79.0333,82.31,76,100,3.33,PA,1665074457
474,Andra,62.5147,65.8878,42.69,94,100,9.06,RU,1665074458
475,Rio Grande City,26.3798,-98.8203,83.88,46,100,4.56,US,1665074460
476,Truro,50.2653,-5.0544,61.88,83,40,14.97,GB,1665074462
477,Weligama,5.9667,80.4167,77.72,85,94,10.07,LK,1665074463
478,Gobabis,-22.45,18.9667,84.74,8,19,10.49,NA,1665074466
479,Lincoln,40.8,-96.667,73.15,63,0,12.66,US,1665074370
480,Pa Sang,18.5262,98.9394,79.0,94,81,1.21,TH,1665074469
481,Pedernales,18.0384,-71.744,86.36,64,47,7.54,DO,1665074470
482,San Patricio,28.017,-97.5169,85.84,43,50,9.91,US,1665074471
483,Rogaška Slatina,46.2375,15.6397,68.0,71,97,1.52,SI,1665074473
484,Ziro,27.6333,93.8333,56.73,99,96,1.25,IN,1665074474
485,Milyutinskaya,48.6279,41.6679,57.45,57,90,5.7,RU,1665074475
486,Kutum,14.2,24.6667,85.93,20,88,9.78,SD,1665074477
487,Oleksandrivka,46.8383,32.7612,58.28,56,51,6.87,UA,1665074478
488,Flinders,-34.5833,150.8552,60.39,93,54,4.0,AU,1665074217
489,Boshnyakovo,49.6333,142.1667,36.25,62,71,7.92,RU,1665074481
490,Leningradskiy,69.3833,178.4167,34.54,70,100,22.86,RU,1665074483
491,College,64.8569,-147.8028,42.58,88,75,3.44,US,1665074485
492,Fonte Boa,-2.4959,-66.2662,99.84,35,65,2.89,BR,1665074486
493,Mackay,-21.15,149.2,70.68,81,27,13.62,AU,1665074487
494,Banyo,6.75,11.8167,66.61,96,99,3.47,CM,1665074489
495,Mairana,-18.1167,-63.9333,73.53,56,65,6.2,BO,1665074490
496,Lavrentiya,65.5833,-171.0,38.62,80,5,30.56,RU,1665074491
497,Chimay,50.0486,4.3171,59.49,70,2,3.71,BE,1665074493
498,Arlit,18.7369,7.3853,99.9,10,20,9.55,NE,1665074494
499,Batouri,4.4333,14.3667,67.91,99,99,0.83,CM,1665074495
500,Seymchan,62.8833,152.4333,18.79,87,100,5.26,RU,1665074496
501,Wassenberg,51.1,6.15,63.09,56,0,11.5,DE,1665074498
502,Dul'durga,50.6761,113.5931,27.95,55,68,2.15,RU,1665074499
503,Port Hardy,50.6996,-127.4199,53.78,100,100,0.0,CA,1665074246
504,Pacific Grove,36.6177,-121.9166,57.42,100,100,0.0,US,1665074502
505,Sibolga,1.7427,98.7792,75.29,91,100,2.01,ID,1665074503
506,Mehamn,71.0357,27.8492,48.11,93,75,5.75,NO,1665074504
507,Bad Doberan,54.1071,11.9005,60.93,63,0,1.01,DE,1665074506
508,Kayes,14.0,-11.0,89.6,50,1,5.99,ML,1665074507
509,Buin,-33.7333,-70.75,74.43,35,58,2.59,CL,1665074508
510,Navolato,24.7672,-107.6944,86.13,70,0,2.24,MX,1665074510
511,Pangody,65.85,74.4859,36.81,77,100,14.29,RU,1665074511
512,Sapele,5.8941,5.6767,77.49,86,97,5.75,NG,1665074512
513,Sémbé,1.6481,14.5806,71.28,99,100,2.89,CG,1665074514
514,Puerto Gaitán,4.3133,-72.0816,84.63,66,100,3.11,CO,1665074515
515,Flin Flon,54.7682,-101.865,31.84,64,100,4.61,CA,1665074516
516,Elizabeth City,36.2946,-76.2511,76.01,58,0,11.5,US,1665074321
517,Nelson Bay,-32.7167,152.15,61.0,89,20,5.01,AU,1665074519
518,Ermelo,-26.5333,29.9833,74.1,17,57,6.29,ZA,1665074520
519,Linxia Chengguanzhen,35.6003,103.2064,47.86,59,96,0.83,CN,1665074521
520,Burley,42.5357,-113.7928,51.76,62,0,0.0,US,1665074523
521,Port Moresby,-9.4431,147.1797,80.02,89,100,3.44,PG,1665074525
522,Wanning,18.8003,110.3967,78.82,89,44,7.43,CN,1665074526
523,Maniitsoq,65.4167,-52.9,34.2,71,100,6.46,GL,1665074527
524,Bubaque,11.2833,-15.8333,82.24,68,46,5.41,GW,1665074529
525,Iranduba,-3.2847,-60.1861,95.32,30,51,6.08,BR,1665074531
526,Tambovka,50.0969,128.0489,30.24,50,9,6.29,RU,1665074532
527,Egvekinot,66.3167,-179.1667,26.24,77,100,34.76,RU,1665074533
528,Robe,-37.1833,139.75,55.29,92,98,11.36,AU,1665074242
529,Nchelenge,-9.3451,28.734,79.47,42,28,3.13,ZM,1665074536
530,Mana,5.6592,-53.7767,87.1,64,4,12.5,GF,1665074538
531,Khasan,42.4308,130.6434,45.75,64,100,4.25,RU,1665074540
532,San Bartolo Cuitareo,19.6167,-100.6,59.61,89,95,1.88,MX,1665074541
533,Lerwick,60.1545,-1.1494,53.6,79,9,28.79,GB,1665074385
534,Tarauacá,-8.1614,-70.7656,97.79,34,28,4.43,BR,1665074544
535,Takoradze,4.8845,-1.7554,79.09,79,93,11.97,GH,1665074546
536,Severnyy,50.677,36.5532,57.24,72,0,6.71,RU,1665074548
537,Panzhihua,26.5851,101.7128,71.71,83,100,1.74,CN,1665074349
538,Putyatino,54.16,41.1169,47.89,90,83,6.87,RU,1665074550
539,Shakhtinsk,49.71,72.5872,51.64,50,32,6.62,KZ,1665074551
540,Smoky Lake,54.1169,-112.4686,41.72,70,11,6.91,CA,1665074554
541,Los Llanos de Aridane,28.6585,-17.9182,71.35,90,20,18.41,ES,1665074555
542,Mukhen,48.1,136.1,32.29,72,87,5.77,RU,1665074557
543,Palmerston,-12.486,130.9833,80.58,90,75,3.44,AU,1665074558
544,Kidal,18.4411,1.4078,100.76,10,10,12.3,ML,1665074559
545,Hammerfest,70.6634,23.6821,45.05,87,75,9.22,NO,1665074406
546,Chupa,66.27,33.0549,46.54,88,98,8.88,RU,1665074562
547,Sembakung,3.8167,117.25,73.69,98,94,0.58,ID,1665074563
548,Suntar,62.1444,117.6319,23.5,88,85,5.86,RU,1665074564
549,Eirunepé,-6.6603,-69.8736,99.97,33,75,3.44,BR,1665074373
550,Djebeniana,35.035,10.9081,78.6,55,4,9.8,TN,1665074568
551,Sovetskaya Gavan',48.9723,140.2878,33.62,61,1,7.83,RU,1665074569
552,Grand Bend,43.3168,-81.7498,68.97,59,95,5.99,CA,1665074570
553,Hoa Binh,20.8133,105.3383,75.94,93,8,1.32,VN,1665074572
554,Mata,40.683,-7.4592,81.61,38,100,1.48,PT,1665074573
555,Kenora,49.8167,-94.4337,36.57,69,75,11.5,CA,1665074574
556,Rocha,-34.4833,-54.3333,58.32,98,100,8.59,UY,1665074576
557,Rosetta,31.4044,30.4164,72.99,61,0,14.7,EG,1665074577
